#RIC,Date-Time,Type,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size,direction
GSK.L,2011-02-01T16:16:16.527835000Z,Quote,,,1144.5,17307,1145,19021,0
GSK.L,2011-02-01T16:16:16.888574000Z,Quote,,,1144.5,17307,1145,20715,0
GSK.L,2011-02-01T16:16:18.164747000Z,Quote,,,1144.5,17307,1145,21093,0
GSK.L,2011-02-01T16:16:20.445454000Z,Quote,,,1144.5,13584,1145,21093,0
GSK.L,2011-02-01T16:16:20.466612000Z,Quote,,,1144.5,13584,1145,21723,0
GSK.L,2011-02-01T16:16:20.754883000Z,Quote,,,1144.5,13584,1145,22053,0
GSK.L,2011-02-01T16:16:21.139582000Z,Trade,1144.582,600,1144.5,,1145,,-1
GSK.L,2011-02-01T16:16:21.315718000Z,Quote,,,1144.5,13184,1145,22053,0
GSK.L,2011-02-01T16:16:21.315718000Z,Quote,,,1144.5,13184,1145,23053,0
GSK.L,2011-02-01T16:16:21.315718000Z,Quote,,,1144.5,12554,1145,23053,0
GSK.L,2011-02-01T16:16:21.327342000Z,Quote,,,1144.5,11964,1145,23053,0
GSK.L,2011-02-01T16:16:21.355673000Z,Quote,,,1144.5,11964,1145,23453,0
GSK.L,2011-02-01T16:16:21.355673000Z,Quote,,,1144.5,11414,1145,23453,0
GSK.L,2011-02-01T16:16:21.356236000Z,Trade,1144.5,208,1144.5,,1145,,-1
GSK.L,2011-02-01T16:16:21.356236000Z,Trade,1144.5,600,1144.5,,1145,,-1
GSK.L,2011-02-01T16:16:21.356236000Z,Trade,1144.5,483,1144.5,,1145,,-1
GSK.L,2011-02-01T16:16:21.356236000Z,Trade,1144.5,703,1144.5,,1145,,-1
GSK.L,2011-02-01T16:16:21.356236000Z,Trade,1144.5,883,1144.5,,1145,,-1
GSK.L,2011-02-01T16:16:21.356647000Z,Trade,1144.5,202,1144.5,,1145,,-1
GSK.L,2011-02-01T16:16:21.356647000Z,Trade,1144.5,143,1144.5,,1145,,-1
GSK.L,2011-02-01T16:16:21.356647000Z,Trade,1144.5,266,1144.5,,1145,,-1
GSK.L,2011-02-01T16:16:21.356647000Z,Trade,1144.5,154,1144.5,,1145,,-1
GSK.L,2011-02-01T16:16:21.356647000Z,Trade,1144.5,260,1144.5,,1145,,-1
GSK.L,2011-02-01T16:16:21.356647000Z,Trade,1144.5,2000,1144.5,,1145,,-1
GSK.L,2011-02-01T16:16:21.356647000Z,Trade,1144.5,3189,1144.5,,1145,,-1
GSK.L,2011-02-01T16:16:21.356647000Z,Trade,1144.5,441,1144.5,,1145,,-1
GSK.L,2011-02-01T16:16:21.356647000Z,Trade,1144.5,1330,1144.5,,1145,,-1
GSK.L,2011-02-01T16:16:21.356647000Z,Trade,1144.5,552,1144.5,,1145,,-1
GSK.L,2011-02-01T16:16:21.356647000Z,Quote,,,1144,23741,1145,23453,0
GSK.L,2011-02-01T16:16:21.362069000Z,Quote,,,1144,19466,1145,23453,0
GSK.L,2011-02-01T16:16:21.366778000Z,Quote,,,1144,19466,1145,24653,0
GSK.L,2011-02-01T16:16:21.366778000Z,Quote,,,1144,19466,1145,22953,0
GSK.L,2011-02-01T16:16:21.366778000Z,Quote,,,1144,19466,1145,23553,0
GSK.L,2011-02-01T16:16:21.366778000Z,Quote,,,1144,13766,1145,23553,0
GSK.L,2011-02-01T16:16:21.367704000Z,Quote,,,1144,13766,1145,24153,0
GSK.L,2011-02-01T16:16:21.367704000Z,Quote,,,1144,13766,1145,23614,0
GSK.L,2011-02-01T16:16:21.367704000Z,Quote,,,1144,14166,1145,23614,0
GSK.L,2011-02-01T16:16:21.367704000Z,Quote,,,1144,14566,1145,23614,0
GSK.L,2011-02-01T16:16:21.368462000Z,Quote,,,1144,14566,1145,24794,0
GSK.L,2011-02-01T16:16:21.368462000Z,Quote,,,1144,14266,1145,24794,0
GSK.L,2011-02-01T16:16:21.368462000Z,Quote,,,1144,14266,1145,25341,0
GSK.L,2011-02-01T16:16:21.368462000Z,Quote,,,1144,12736,1145,25341,0
GSK.L,2011-02-01T16:16:21.368462000Z,Quote,,,1144,12736,1145,26321,0
GSK.L,2011-02-01T16:16:21.368462000Z,Quote,,,1144,12736,1145,29701,0
GSK.L,2011-02-01T16:16:21.368462000Z,Quote,,,1144,12736,1145,28501,0
GSK.L,2011-02-01T16:16:21.368462000Z,Quote,,,1144,12736,1145,30201,0
GSK.L,2011-02-01T16:16:21.368462000Z,Quote,,,1144,12736,1145,29601,0
GSK.L,2011-02-01T16:16:21.368462000Z,Quote,,,1144,12736,1145,29001,0
GSK.L,2011-02-01T16:16:21.368462000Z,Quote,,,1144,12736,1145,29540,0
GSK.L,2011-02-01T16:16:21.368462000Z,Quote,,,1144,12736,1144.5,400,0
GSK.L,2011-02-01T16:16:21.378508000Z,Quote,,,1144,13036,1144.5,400,0
GSK.L,2011-02-01T16:16:21.378508000Z,Trade,1144.5,400,1144,,1144.5,,1
GSK.L,2011-02-01T16:16:21.378508000Z,Quote,,,1144,13036,1145,34307,0
GSK.L,2011-02-01T16:16:21.380306000Z,Quote,,,1144,13036,1145,33768,0
GSK.L,2011-02-01T16:16:21.380306000Z,Quote,,,1144,13036,1145,32588,0
GSK.L,2011-02-01T16:16:21.380306000Z,Quote,,,1144,13036,1145,30888,0
GSK.L,2011-02-01T16:16:21.380306000Z,Quote,,,1144,12706,1145,30888,0
GSK.L,2011-02-01T16:16:21.380306000Z,Quote,,,1144,12706,1144.5,539,0
GSK.L,2011-02-01T16:16:21.380306000Z,Quote,,,1144,12306,1144.5,539,0
